"Duration","Start Time","Profile Name","Country","Bookmark","Latest Bookmark","Supplemental Video Type","Attributes","Device Type","Title"
"00:02:43","2025-10-01 07:20:42","Fiona","US (United States)","00:34:46","00:34:46","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 3 (Episode 3)"
"00:16:31","2025-10-01 06:29:48","Fiona","US (United States)","00:32:03","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 3 (Episode 3)"
"00:08:23","2025-10-01 06:06:49","Fiona","US (United States)","00:15:32","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 3 (Episode 3)"
"00:06:04","2025-10-01 00:48:53","Fiona","US (United States)","00:07:09","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 3 (Episode 3)"
"00:31:34","2025-09-30 23:15:56","Fiona","US (United States)","00:40:02","00:40:02","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 2 (Episode 2)"
"00:07:02","2025-09-30 04:29:09","Fiona","US (United States)","00:07:03","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 2 (Episode 2)"
"00:03:22","2025-09-30 04:24:55","Fiona","US (United States)","00:41:38","00:41:38","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 1 (Episode 1)"
"00:48:13","2025-09-30 01:49:01","Celine","TW (Taiwan)","01:21:33","01:21:33","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 3 集（第 3 集）"
"00:05:39","2025-09-29 22:10:02","Fiona","US (United States)","00:38:15","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 1 (Episode 1)"
"00:13:34","2025-09-29 16:05:42","Celine","TW (Taiwan)","00:35:40","00:35:40","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 3 集（第 3 集）"
"00:01:49","2025-09-28 19:45:17","Fiona","US (United States)","00:32:35","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 1 (Episode 1)"
"00:05:57","2025-09-28 01:01:23","Fiona","US (United States)","00:30:46","Not latest view","","","Edge OSS - Windows (Cadmium)","Mobius: Season 1: Episode 1 (Episode 1)"
"00:00:14","2025-09-28 01:01:05","Fiona","US (United States)","00:00:14","00:00:14","HOOK","Autoplayed: user action: None; ","Edge OSS - Windows (Cadmium)","Season 3 Clip 4: Alice in Borderland"
"01:02:50","2025-09-27 15:22:12","Celine","TW (Taiwan)","01:27:32","01:27:32","","Autoplayed: user action: User_Interaction; ","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 2 集（第 2 集）"
"00:50:20","2025-09-27 14:18:52","Celine","TW (Taiwan)","01:16:39","01:16:39","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 1 集（第 1 集）"
"00:00:06","2025-09-27 14:17:14","Celine","TW (Taiwan)","00:00:06","00:00:06","HOOK","Autoplayed: user action: None; ","Chunghwa Telecom CHTMOD MVPD STB","預告 3：《殺手螳螂》"
"00:03:24","2025-09-27 05:42:23","Santo","VN (Vietnam)","00:06:27","00:06:27","","","Apple iPhone 16 Pro Max iPhone","Burning Betrayal"
"00:00:01","2025-09-27 05:42:11","Santo","VN (Vietnam)","00:32:24","00:32:24","","","Apple iPhone 16 Pro Max iPhone","Fatal Seduction: Season 2: Pain (Episode 10)"
"00:09:59","2025-09-27 04:35:58","Celine","TW (Taiwan)","00:18:38","00:18:38","","Autoplayed: user action: User_Interaction; ","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 10 集（第 10 集）"
"00:21:46","2025-09-27 04:12:00","Celine","TW (Taiwan)","01:26:43","01:26:43","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 9 集（第 9 集）"
"00:29:33","2025-09-27 02:55:59","Celine","TW (Taiwan)","00:38:37","Not latest view","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 10 集（第 10 集）"
"00:08:15","2025-09-27 02:45:32","Celine","TW (Taiwan)","01:12:58","Not latest view","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 2 集（第 2 集）"
"00:59:41","2025-09-27 01:42:35","Celine","TW (Taiwan)","01:47:38","01:47:38","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 16 集（第 16 集）"
"00:25:03","2025-09-27 01:15:40","Celine","TW (Taiwan)","00:47:00","00:47:00","","","Chunghwa Telecom CHTMOD MVPD STB","淚之女王：迷你影集：第 14 集（第 14 集）"
"00:00:04","2025-09-27 01:15:21","Celine","TW (Taiwan)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Chunghwa Telecom CHTMOD MVPD STB","Be Melodramatic: Limited Series_hook_02_16x9_backfill"
"00:00:06","2025-09-27 01:15:11","Celine","TW (Taiwan)","00:00:06","00:00:06","TRAILER","Autoplayed: user action: None; ","Chunghwa Telecom CHTMOD MVPD STB","預告：《暴君的廚師》"
"00:05:29","2025-09-26 11:36:33","Celine","TW (Taiwan)","00:22:06","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 3 集（第 3 集）"
"00:04:18","2025-09-26 07:13:32","Celine","TW (Taiwan)","00:16:36","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 3 集（第 3 集）"
"00:07:12","2025-09-26 06:04:48","Celine","TW (Taiwan)","00:12:18","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 3 集（第 3 集）"
"00:04:26","2025-09-25 15:48:36","Celine","TW (Taiwan)","00:05:06","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 3 集（第 3 集）"
"00:04:13","2025-09-25 15:44:17","Celine","TW (Taiwan)","01:00:56","01:00:56","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 2 集（第 2 集）"
"00:00:10","2025-09-25 15:16:47","Santo","VN (Vietnam)","00:00:10","00:00:10","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 8 Trailer: Elite"
"00:00:05","2025-09-25 15:16:37","Santo","VN (Vietnam)","00:00:06","Not latest view","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 8 Trailer: Elite"
"00:09:18","2025-09-25 15:06:46","Santo","VN (Vietnam)","00:11:56","00:11:56","","","Apple iPhone 16 Pro Max iPhone","Until You Burn: Season 1: Episode 1 (Episode 1)"
"00:00:36","2025-09-25 15:01:17","Santo","VN (Vietnam)","00:00:36","00:00:36","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Clip 6: Until You Burn"
"00:00:06","2025-09-25 14:28:54","Santo","VN (Vietnam)","00:00:06","00:00:06","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Main Character Intro Clip: Lady Chatterley's Lover"
"00:00:04","2025-09-25 14:28:48","Santo","VN (Vietnam)","00:00:05","00:00:05","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 2 Genre Specific Moment Clip 2: Sex/Life"
"00:00:10","2025-09-25 14:28:37","Santo","VN (Vietnam)","00:00:10","00:00:10","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Genre Specific Moment Clip: Fishbowl Wives"
"00:00:26","2025-09-25 14:28:07","Santo","VN (Vietnam)","00:00:26","00:00:26","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Trailer: Glitter"
"00:00:06","2025-09-25 14:27:24","Santo","VN (Vietnam)","00:00:06","Not latest view","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 2 Genre Specific Moment Clip 2: Sex/Life"
"00:00:37","2025-09-25 14:26:40","Santo","VN (Vietnam)","00:00:37","00:00:37","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Supporting Character Clip: Devotion, a Story of Love and Desire"
"00:00:09","2025-09-25 14:26:29","Santo","VN (Vietnam)","00:00:09","Not latest view","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 2 Genre Specific Moment Clip 2: Sex/Life"
"00:14:54","2025-09-25 13:25:31","Celine","TW (Taiwan)","00:56:42","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 2 集（第 2 集）"
"00:23:18","2025-09-25 07:03:37","Fiona","US (United States)","00:24:52","Not latest view","","","Apple iPad Pro 12.9 inch 3rd Gen Wi-Fi iPad","Mobius: Season 1: Episode 1 (Episode 1)"
"00:16:58","2025-09-25 05:08:38","Celine","TW (Taiwan)","00:41:47","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 2 集（第 2 集）"
"00:00:50","2025-09-25 03:14:21","Fiona","US (United States)","00:00:50","Not latest view","","","Edge OSS - Windows (Cadmium)","Mobius: Season 1: Episode 1 (Episode 1)"
"00:00:06","2025-09-25 03:14:12","Fiona","US (United States)","00:00:06","00:00:06","HOOK","Autoplayed: user action: None; ","Edge OSS - Windows (Cadmium)","Limited Series Clip: Bon Appétit, Your Majesty"
"00:01:26","2025-09-25 03:11:55","Fiona","US (United States)","00:00:00","00:00:00","HOOK","Autoplayed: user action: None; ","Edge OSS - Windows (Cadmium)","Mobius: Season 1_hook_01"
"00:18:56","2025-09-24 15:39:35","Celine","TW (Taiwan)","00:24:49","Not latest view","","","Chrome PC (Cadmium)","浪漫的體質：迷你影集：第 2 集（第 2 集）"
"00:00:05","2025-09-24 14:31:41","Santo","VN (Vietnam)","00:00:05","Not latest view","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Trailer: Glitter"
"00:00:05","2025-09-24 14:31:30","Santo","VN (Vietnam)","00:00:05","Not latest view","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Trailer: Glitter"
"00:00:10","2025-09-24 14:31:17","Santo","VN (Vietnam)","00:00:10","00:00:10","TEASER_TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Limited Series Teaser: Supersex"
"00:00:36","2025-09-24 14:30:38","Santo","VN (Vietnam)","00:00:36","Not latest view","TRAILER","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 1 Trailer: Glitter"
"00:00:05","2025-09-24 14:29:44","Santo","VN (Vietnam)","00:00:05","00:00:05","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Just A Stranger_hook_primary_16x9"
"00:00:10","2025-09-24 14:29:24","Santo","VN (Vietnam)","00:00:10","00:00:10","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Clip 8: A True Gentleman"
"00:00:05","2025-09-24 14:29:12","Santo","VN (Vietnam)","00:00:06","00:00:06","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","sex, lies, and videotape_hook_05_16x9"
"00:00:07","2025-09-24 14:28:18","Santo","VN (Vietnam)","00:00:08","Not latest view","HOOK","Autoplayed: user action: None; ","Apple iPhone 16 Pro Max iPhone","Season 2 Genre Specific Moment Clip 2: Sex/Life"
